comments;source;label
tim yang memalukan;youtube;negative
sebelum m m man ke;tiktok;neutral
emang lagi kocak kocaknya;tiktok;negative
udah pindahin aja mu ke liga;tiktok;negative
sama madura united atau malut united jg msh bagusan mereka kyknya mainnya;youtube;negative
main di bri liga juga paling degradasi;tiktok;negative
siapa yang menyakiti kamu bang;tiktok;neutral
anjir saking bapuknya manuk kalah sama asean;youtube;negative
cuma karena komersil mu mengalah gila si ini;youtube;positive
itu pramugarimaaf aku ndoso ges;youtube;neutral
gi masuk goa;tiktok;negative
di jalanan ada lampu di goa ada emyu;tiktok;negative
saatnya bermain dan menang;youtube;positive
mu ko di dukung;tiktok;negative
sekelas mu saja mau juara aff susah mungkin ada mafia;tiktok;positive
besok buat liga sendiri aja biar juara;tiktok;negative
main nya belakang aja;tiktok;negative
yang nyuapin ampe geter tangannya gara gara gak percaya mu bisa kalah;tiktok;negative
siapa yg mencetak goll;tiktok;neutral
mu lagi masa masa kekalahan bang semangat;tiktok;positive
ko orang pada kaget ya padahal udah jelas tim bawah inggris yg maen maklum la gabisa menang lawan asean all stars;tiktok;negative
she mknlah sikit nnti sakit;tiktok;negative
ya masak mau mempertahankan citra diri dg tim yg baru dibangun doangan rendah amat kyknya harga diri;youtube;negative
hina bet hina kalah sama asean allstars lapis ke;youtube;negative
kalah wajar menang g mustahil;tiktok;negative
dikantongi ama kakang;tiktok;negative
siapa suruh sokong mu;tiktok;negative
bagusan mana bg bukit jalil ama gbk;tiktok;neutral
mr tatah;tiktok;neutral
tadi bahagia sekarang yg sbr ya bang;tiktok;neutral
kamu pergi malaysia;tiktok;neutral
mu pul kekalahan;tiktok;negative
pertamax;tiktok;neutral
emyu lagi mau fokus piala tarkam;tiktok;negative
dark sistem;tiktok;negative
uji coba dengan mu jelas menang asean all star mu sendiri tim lemah di inggris;youtube;negative
yang skil bagus nya gk main;tiktok;positive
itu singapur coba ulang lagi videonya trus pause di benderanya;youtube;neutral
kakang rudianto bikin garnacho gak berkutik;tiktok;neutral
first dapat apa;tiktok;neutral
goat antoni juga kalah bang;tiktok;negative
katanya bakal juara;tiktok;negative
kasihan bgt bjirrr;tiktok;negative
ada team macam ginisekelas pemain mu kalah dengan pemain liga liga dagelan bener bener munyuk aib inggris;tiktok;negative
udah paling bener lanjutin usaha pecel lele;tiktok;negative
menang kalah itu adat mu kalah itu tabiat;tiktok;negative
sama pemain myanmar lagi wkwkwkwk;tiktok;negative
mu sudah menurun;tiktok;negative
dih najis busuk bgt permainan emyu lawan tim dadakan aja kalah;youtube;negative
masih ada leg santai aja;tiktok;positive
pemain mu takut cedera;youtube;negative
kalau ditanya hiburan yang bikin relax gue jawabnya;youtube;neutral
macam bola kampung;youtube;negative
badut united;tiktok;negative
tadi senang kenapa menunggu bg;tiktok;neutral
garnacho takut ada asnawi;tiktok;negative
roticanecoklatkeju udah lah emang tim gradasi tim kecil;tiktok;negative
terimakasih selalu upload kak walaupun masih sibuk banget;youtube;neutral
trauma banget dari kemarin kehilangan mulu;tiktok;neutral
gak papa bang gw juga dukung manchester united;tiktok;positive
tenang leg bantai;tiktok;positive
aku ngeliat thumbnail nya tiba ketawa anjirr gatau kenapa;youtube;negative
makasih y beres rumah sambil nyepin pas dengar suaranya behhhhhh garang kaliii suara petirnya hahaha;youtube;negative
sama asean all star aja kalah;tiktok;negative
mhmdparizzyang kepalanya diperban pas timnas vs bahrain di kandang bahrain;youtube;neutral
gak perlu tonton game udah tau gk akan menang hahhaha;tiktok;negative
mending jadi fans mu madura united aja gak sih daripada mu yg onoh malah makin banyak yg stress gue lihat fans mu yg onoh;tiktok;negative
kat situ ade malaysia juga;tiktok;neutral
liat mu skrng mirip club liga antah berantah;youtube;negative
mu sama asean grade b saja kalah ngelawak lg;youtube;negative
kangan manchester united;tiktok;positive
dahlah ngelawak aja;tiktok;negative
emang paling cocok dah buka warung pecel lele aja;tiktok;negative
mutidur dek;tiktok;negative
sekelas mu kalah sama tim yg baru bikin group wa semalem;tiktok;negative
mu tim papan bawah lawan dewa unitef belum tentu menang;youtube;negative
oh iya itukan sekou kone timnas u mali iya bukan si;tiktok;negative
pertama;tiktok;neutral
sebelum;tiktok;neutral
fiks suru lawan liga bri aja ni tim kesayangan;tiktok;negative
tidak pernah belajar dari pengalaman pindah aja jadi fans newcastle;tiktok;negative
ga sanggup nahan malu gua kali ini anjjjjj;tiktok;negative
piala maybank pun sukar di dptkn oleh mu;tiktok;negative
iam is indonesia man united;youtube;positive
munyuk sama asean aja kalah;youtube;negative
setan merah;tiktok;positive
kakang rudianto from persib;youtube;neutral
wah belum ribuan;tiktok;neutral
kalah sama tim yang baru dibuat;tiktok;negative
special boneka tetap boneka karena kemerdekan di atur british bukan di atur sendiri harga diri bangsa di jual pada british;youtube;neutral
wkwkw king assean all stars kasih telor buat mu;tiktok;negative
kalah menang itu hal yang wajar tpi ini gk wajar;tiktok;negative
ci keboy lanjut;tiktok;neutral
hhh kalah sama asean hhhh;tiktok;negative
mu sekarang ga ada apa apa nya beda jaman nya rooney ronaldo van versie;youtube;negative
lawan klub tarkam aja keknya masih menang klub tarkamnya;tiktok;negative
kalah menang soal baisa;tiktok;negative
dibawah easy masih ada emyu;tiktok;negative
malam aku full gelak doh;tiktok;neutral
riskiarngambek kah bang;youtube;negative
emang aslinya bapuk;youtube;negative
udh emyu ubah jadi ormas aja;tiktok;negative
ini smua setinggan;tiktok;positive
mau angkat pialanya di eropa angkat piala di asean aja gk bisa;tiktok;negative
sebelum ratusan;tiktok;neutral
main dimana aja kalah;tiktok;negative
selanjutanya mancester city;youtube;neutral
man utd aliansi ormas dalam bidang apa;tiktok;negative
mu cuma sekelas bontang fc;tiktok;negative
kalah menang itu memang hal yg wajar tapi mu memang takkan menang;tiktok;negative
tim yg latihan bertahun kalah dengan tim yg baru latihan hari;tiktok;negative
kakang penerus asnawi;tiktok;neutral
kalah menang itu hal yg wajar;tiktok;negative
sumpah bingung gua mau alesan apa lagi;tiktok;negative
bot banget emyu dari di tinggal nya para legend nya;tiktok;negative
mana golnya kgak jelas;youtube;negative
kalah sama tim yang baru di buat jir;tiktok;negative
degradasi aj bg;tiktok;negative
cocok nya suruh lawan liga takram;tiktok;negative
rendah banget mu kalah sama tim asia tenggara dan yg cetak gol pemain myanmar lgi;tiktok;negative
lawan indo u squad kualifikasi olimpiade emyu pasti kalah;youtube;negative
bang ngomong ribu kali bang lu udah janji;tiktok;neutral
santai aja ada leg mu awto comeback;tiktok;positive
kayak nya stiap orang ini dukung klup bola pasti kalah;tiktok;negative
kalah menang itu hal yang wajar tapi kalah dari asia tenggara itu ga wajar;tiktok;negative
tapi kalahnya sma tim mng d bntuk;tiktok;negative
padahal itu belum all star sebenarnya;tiktok;negative
yg sabar lah ya bang puasa tropi musim ini kita bang;tiktok;positive
kira mu vs persib siapa yg menang;tiktok;neutral
terakhir;tiktok;neutral
nasib gak ada pemain indoklu ada gak akan menang cokindo beban asean;tiktok;neutral
garagara mu kalah aku jadi sakit radang;tiktok;neutral
hahahah puas bgt gua;tiktok;negative
bubarbubar;youtube;negative
yang sabar ya bang manchester united itu emang lagi bot;tiktok;negative
sumpah bg capek gw jadi fans mu tapi gw gak bisa lepas dari mu;tiktok;neutral
mu cocok nya lawan psms medan;tiktok;negative
mu kalah dengan asean;tiktok;negative
casemiro tidak pernah serendah ini wkwkwk;tiktok;negative
puncak komedi;tiktok;negative
pindah liga aja;tiktok;negative
kalah sma tim yng sistem borongan;tiktok;negative
menang kalah tetap glory glory man united kan bg;tiktok;positive
antikebodohanxh fans mu marah;youtube;negative
apakah masih yakin bakal treble domestik bang;tiktok;negative
kakang rudianto kali juara;tiktok;neutral
untung besok tgl merah fansnya bisa napas dulu nyiapin alesan wkw;tiktok;negative
kalah sama tim di betuk harii;tiktok;negative
alhamdulillah kasi suap maguire sekali;tiktok;negative
manutd beli pemain asean aja;tiktok;negative
mending emyu daftar liga kita aja saingan ama persib persija dll;tiktok;negative
terimalah yg man utd itu bukanlah yg dulu;tiktok;negative
mu di bayar untuk kalah;youtube;positive
udah bangg pindah aja ke madrid kalo gak ke liverpool atau arsenal biar lebih jelas masa depan nya asal jgn barca yaa;tiktok;negative
indo kan asean juga;tiktok;neutral
tragedi mei terulang wkwkwk;tiktok;negative
nonton di tv one makanya mu menang;tiktok;neutral
day one komen pakai foto;tiktok;neutral
koq mu jadi kaya gini sih maennya kaya nonton liga indonesia;youtube;negative
kalah menang itu adat permainan mu kalah tu tabiat;tiktok;negative
mu main di liga aj;tiktok;negative
srh lawan liga pasti juara munyuk itu;tiktok;negative
dan nani;youtube;neutral
liat vt baru gw;tiktok;neutral
bang mending pindah ke liverpool bang udah ga ketolong ini;tiktok;negative
sblm ribuan;tiktok;neutral
dulu meratakan eropa;tiktok;negative
astagfirullah mu;tiktok;negative
lawan persib juga yang menang persib gue emosi banget semalem nontonnya;tiktok;negative
astaghfirullah united;tiktok;negative
mu bapuk;youtube;negative
masuk gua sana;tiktok;negative
makan dulu bang biar ga telor;tiktok;negative
gpp bang dahulu indonesia menang melawan asean all star nanti juga manchester united akan tsunami trophy;tiktok;negative
itu asean all star bayar ke emyu buat tim asean all star menang biar suporter malaysia seneng;tiktok;positive
padahal baru lepas nangis;tiktok;negative
indonesia menang lawan asean all stars;tiktok;negative
tim britiss maen di negara boneka britiss;youtube;negative
mu main di liga mungkin masih kalah dari psm;tiktok;negative
sejak dulu kapan coba anda jelaskan;news;positive
fun match emang iya fun match tapi laga serius juga keok mulu minimal kalo fun bisa nge bobol lah bukan keok;tiktok;negative
lawan asean pemain bintang di turunin tapi hasil nya wkwk garnaco di kantongin kakang;tiktok;negative
ikut laga tarkam ajahbiar bisa menang;tiktok;negative
mu sudah tidak ada identitas nama besar tinggal kenangan;youtube;negative
kenapa setiap klub yang didukung kyle kusumo selalu kalahh;tiktok;positive
tukeran aja bang asean all star yg main di epl aja mu main di aff;tiktok;negative
mu pantas main di malaysia lapangnya ok banget;youtube;neutral
sebelum ribuan;tiktok;neutral
dappaaa;tiktok;neutral
baru menit dah ribu ribuan lah aku menit baru;tiktok;neutral
bek asean kakang rudianto;youtube;neutral
ah diayammin;tiktok;neutral
waktu itu sama ayam sayur sekarang sama asean all star;tiktok;negative
masih ada fans mu;tiktok;positive
team aja kuat tapi kalah sama asian all stars hahahhahahahahhaha;tiktok;negative
sekou kone pemain mali bang;tiktok;neutral
mu gua kenapa cokk;tiktok;neutral
aku nk pesan jaa;tiktok;neutral
cek vt yang gw sematkan;tiktok;neutral
titik terendah tim mu di kalahkan skuad aff;tiktok;negative
nah lawakan amorim yang dikirim asean all star kan juga lain team inti di timnas terbaik;youtube;negative
gak usah hina pun sudah hina ini klub;tiktok;negative
lama di tolak piala seluruh dunia;tiktok;negative
cocok dahh maen di liga;tiktok;negative
lbih tepatnya asean bkan lbih jago dripda eropa;tiktok;negative
md bhismaputran;tiktok;neutral
padahal belum lawan king indo;tiktok;negative
bener badut kalah sama tim yg baru d bentuk smggu;youtube;negative
makan dulu nak;tiktok;negative
padahal dulu menang lawan eropa;tiktok;positive
mending jadi club malam aja ni emyu kalo gak masuk liga san marino aja;tiktok;negative
padahal asean bukan pemain inti;tiktok;negative
bukan masalah pertandingan biasa harga diri nya itu lohh jatuh;tiktok;negative
mantap yg bkin gak terjadi goal dari bek indonesia smpe keteter trs lawan bek indonesia mu sekarang kok gitu ya hadeuhh;youtube;negative
kalah sama team minggu lahir kocaakk kata embah gua di kuburan;tiktok;negative
ahahahhaha padan muke;tiktok;negative
memang klub pan lanjutkan;tiktok;negative
kalah sudah;tiktok;negative
soal nya siralex feguson udah gak ada kalo ada pati menang;tiktok;negative
mu sudah tim biasa saja;youtube;negative
bang kalah gapapa tp bang ini asean all star baru di bentuk berapa minggu bangg benerann kalah ini;tiktok;negative
mau tanyaa allstas tim dari negara mana;youtube;neutral
emng emyu sengaja kalah biar asia seneng;tiktok;positive
di bawa santay aja kawan;tiktok;neutral
besok mau fokus apa lagi yaa;tiktok;negative
lapangan first classjauh beda dgn konoha;youtube;neutral
ga usah ngoyo menang toh ini pertandingan sangat tdk berguna anggap aza ajang cari keringet;youtube;positive
gk usah dihina pun harusnya sadar diri sih;tiktok;negative
aib inggris;tiktok;negative
kalo soal kalah emang emyu pemenangnya;tiktok;negative
takut mu dibully pas balik ke inggris ama tim piala chiki aja kalah gimana mau ngejar piala liga;tiktok;negative
mu kapan menangnya sih;tiktok;neutral
gor mahia can beat man u;tiktok;neutral
pdhal cuma asean coba kek zaman dulu vs eropa xi;tiktok;neutral
masih ada lag;tiktok;positive
soal menang emyu kalah tapi soal kalah emyu menang;tiktok;negative
ndak dihina pun dah hina;tiktok;negative
mu mainya tidak bergairah layak kalah lawan tottenham hotspur dan kalah lawan asean ya bravo;youtube;negative
beda zaman bg;tiktok;neutral
kalah menang aku masih fans king mu;tiktok;positive
mu main pau ajah;tiktok;negative
muhamad rizki ardi;tiktok;neutral
masak sepak bola tarkam dih samain sama sepak bola eropa;tiktok;negative
makan sikit bang nanti jatuh sakit;tiktok;negative
kalah menang itu adat tapi mu kalah itu tabiat;tiktok;negative
suruh lawan liga aja belum tentu menang;tiktok;negative
asean loh ya belum perkumpulan pemain asia belum lagi nnti yang diisi nama nama kaya son kubo minamino taremi khusanov jayngakak sehina ini tim badut ini;youtube;negative
bisa ae mu biar seruuuu;youtube;positive
lawan asean all star aja kalah wkwkw btw kakang rudianto mainnya bagus;tiktok;negative
piala apa lagi yang mau di angkat;tiktok;negative
emang paling bener emyu main di kutub utara aja lawan beruang kutub;tiktok;negative
apalagi vs king indo udah diobokobok;tiktok;negative
sama asia aja kalah apalagi sama europa;tiktok;negative
dulu menang lawan eropa xxi sekarang kalah lawan asean al star;tiktok;negative
kakang menyala;tiktok;neutral
hahahaha disana kalah disini kalah mending dagang rujak di inggris;youtube;negative
bg sakit gk bang ditampar oleh dodi;tiktok;negative
ga di ligalawan asean tetep aja kalah;tiktok;negative
woi mu ngapa jadi gini ya tau sii kalau dia kalah mulu tapi ga espek bgtt dikalahin aas ini manggilnya masih setan merah ga;tiktok;neutral
jauh ke malaysia cuma buat liat kakang angkat piala;tiktok;negative
masuk liga super pun tak lepas ni;tiktok;negative
serasa org dewasa dipukul bayi;tiktok;neutral
yang menang merayakanyang kalahh menjelaskann;tiktok;neutral
fiks musim depan mu degradasi;tiktok;negative
barangkali ikut turnamen rt rw bisa juara itu club;tiktok;negative
kocak gada sejarahnya tim eropa lawan tim asean tenggara kalah cuma emyu doang njirr klo niatnya mreka pntingin duit ya sharusnya menangin laga jauh lebih bagus klo udh kalah gtu ngapain lg buat d panggil kocak intinya klo badut ya badut aja;youtube;negative
manusia ditzzstrongboys;tiktok;neutral
ada kakang rudianto;tiktok;neutral
bro didesa gue ada liga tarkam siapa tau mu mau ikut biar biasa juara;tiktok;negative
sruh mu main ngan budak ja;tiktok;negative
yah di eropa ga angkat piala eh di asean juga sama;tiktok;negative
hanya ank mudah lawan nya tapi tetap kala;tiktok;negative
sebelum mnt;tiktok;neutral
dulu lawannya europa allstar;tiktok;negative
apaan piala ciki udah tau emyu fokus utbk;tiktok;negative
kirain gk jadi mainnya saking gk menariknya coba klo main di indonesia euforia nya bkln beda bgt;youtube;negative
wkwk ngakakak gua liat tim kayak gini kalah sama tim yang baru gabung sehari hhahaha;youtube;negative
mending jualan ayam sayur;tiktok;negative
speechless ribu tembus jt parah sih;youtube;neutral
awokawokawok club badut sebenarnya;tiktok;negative
sedihhhhh banget;tiktok;negative
bang mending mu ikutan eksibisi bang kalo nggak liga indonesia kayaknya lawannya sepadan;tiktok;negative
pemain mu minta baju malik;tiktok;negative
gpp yg penting bisa juara dpt medali perak drpd arsenal ga dpt apa;tiktok;positive
mu suruh jualan ketoprak aja percuma kalah mulu;tiktok;negative
sudah tidak wajar kalo emyu;tiktok;negative
menang kalah itu adat mu kalah itu tabiat;tiktok;negative
kalah menang hal yg wajar;tiktok;positive
itu mental nya fans mu aman kan;tiktok;neutral
dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat;tiktok;negative
dan ternyata penontonya banyak juga ternyata main juga katanya batal ternyata iri indonesia dengan iri malasya banyak spekulasi;youtube;negative
faktanya di asean all stars kemarin diisi materi pemain kelas b asean;tiktok;negative
baru asean all star loh gimana tu kalo asia all star;tiktok;negative
penat;tiktok;negative
gimana bisa menang aff kalo baru tanding sama tim kelas aja tetep kalah;tiktok;negative
mu masuk liga bri aja lah;youtube;negative
bahkan lawan yg pemainnya dadakan latihanya beberapa minggu aja king masih aja kalah;tiktok;negative
club apa ini masih ada kah urat malu nya;tiktok;negative
seasky makan dlu hm;tiktok;neutral
udahlah ini cuma laga uji coba gak usah di pikirin mending pikirin indo vs china;tiktok;positive
itu kone pemain mali bgdia main pas word cup u;tiktok;negative
yaelah faktor cuaca makanya mu kalah pemain eropa ga terbiasa sama cuaca di asean bisa disimpulkan kalo asean all star menang hoki;tiktok;positive
bang dukung manchester city aja;tiktok;neutral
yah mu gagal masuk aclasean champion league;tiktok;neutral
mu lawan anak sd juga kalah tuh mu;youtube;negative
indonesia kakang club in persib bandung goodjob;youtube;negative
kalah menang itu adat permainan tapi kalau mu kalah itu tabiat;tiktok;negative
anjayyy;tiktok;neutral
dah lah pasti gua besok kalok main di buli ama temen gue;tiktok;negative
mu lagi jelek performa nya;youtube;positive
niat nyari pengalaman malah ngasih pengalaman buat mu;tiktok;negative
asean luar biasa dan mu tim lemah;youtube;negative
madura cabang inggris kalah lagi;tiktok;negative
besok mu suruh ikut piala presiden;tiktok;negative
tapi kualitas rumput dan siaran bagaikan bumi dan langit;youtube;neutral
sukses selalu bang;youtube;neutral
yang dulu di takuti di eropa sekarang lawan asean pun serasa imbang bahkan bisa jadi asean sekarang atawkah mu yg menurun drastis julukan the red devil rasa seolah tak pantas melihat permainan seperti permainan tarkam;youtube;negative
kalah ama asean all star itu udh gk wajar bu;tiktok;negative
kalah di europa legue kalah lagi di pertandingan persahabatan;tiktok;negative
sebelum ribuan;tiktok;neutral
hermanipoetmau serius mau kagak harusnya si mu tetap bisa menang lawan tim karbitan yg baru di bentuk hari;youtube;negative
dan mereka kata kepada ronaldo asia ez;tiktok;negative
ga balik modal tuh pasti emyu udah tau negara ga gila bola malah di boking;youtube;negative
kemarin yapping wkwk;tiktok;negative
pindah ke liga aja mu biar dapat trophy;tiktok;negative
saran aja bg mending jdi malud united mania aja;tiktok;negative
satu satunya tim dari eropa yang mendadak berubah menjadi cambodia hanya milik musekarang ht lawan hongkongm gnevil scholes dkk pasti mangis guling guling melihat mantan tim nya di buat pecundang dari asen;youtube;negative
ih takutnya;tiktok;neutral
mending ganti aja tu emyu jadi club malam;tiktok;negative
opo gunane kalah emyu;tiktok;negative
alah cuaca nya beda aja piala mu udah banyak apalagi jaman ronaldo duluu;tiktok;positive
parah cok sudah tak tertolong;tiktok;negative
mu mau nge golin nya jga susah belakang nya jga banyakgarnacho di kantongin pemain persib kakang jadi bagus main nya;tiktok;neutral
mu nu kuring keleh njirr;tiktok;negative
mau fokus apalagi;tiktok;negative
kakang rudianto udah trofi emyu masih aja;tiktok;negative
ngga perlu dihina sudah hina wkwkw;tiktok;negative
kep sterong mu pasti kamu bisa bangkit mejadi mu yang seperti dulu;tiktok;positive
dulu sekelas eropa al star aja bisa di kalah kan sekarang sama sekelas asean aja kalah;tiktok;negative
haduh sabar bang mungkin bukan rezekinya;tiktok;neutral
udah di kasih lawan asean tetep ga bisa dapet tropy;tiktok;negative
yaah kalah ama asean all star;tiktok;negative
permainan itu terlihat seperti bukan manchester united;youtube;negative
fans sepakbola paling tabah adalah fans mu;tiktok;neutral
respect buat emyu yg semangat ya;tiktok;positive
mu kalah sama asia wkwk;tiktok;negative
hahahaha setan merah kalah;tiktok;negative
kayak shidou aja masuk tim lawan;tiktok;negative
pramusim ngapain diseriusin pemainya pada cape habis menang lawan villa di rpl;tiktok;positive
mu sengaja ngalah bukan kalah;tiktok;positive
kasihan;tiktok;negative
yanaitud;tiktok;neutral
besok jamaah jumat yg berbahagia;tiktok;negative
mereka kan raja rja peringkat bawah;tiktok;negative
jangan kecam team emyu;tiktok;negative
prabawatisriningrumsupaya tim klub asean senang liat aja permainan mereka di ucl mereka itu sengaja kalah udah diatur memang dari sananya;youtube;positive
apapun yg terjadi mu tetap di hati;tiktok;positive
aku nonton di stadium kalah cokk;tiktok;negative
perasaan tadi semangat amat;tiktok;neutral
kakang dan malik madura ama malut sama mu kayanya gak buruk amat di banding mu ingris padahal kita gak sling kenal mana latihan nya cuman sekali lagi;tiktok;negative
yes asean menang;tiktok;neutral
inget biasanya sebelum tsunami surut dulu broo;tiktok;positive
siapakah pemain mu no itu;tiktok;neutral
makan bang sudah lah tidak boleh berharap besar sm mu yg akhirnya kita sudah tau endingnya;tiktok;negative
makanya jangan terlalu berharap bang;tiktok;negative
echan jaeger bangkit gutoro menurutmu pye jun;tiktok;neutral
bang emyu kayaknya harus rombak ulang deh;tiktok;neutral
tapi mu kalah sama all star ga wajarr;tiktok;negative
serius tnya yg cetak gol allstar sape;youtube;neutral
ya ampunnnn;tiktok;neutral
lawan tim kmarin sore aja klah;youtube;negative
paling lawan mu local aja masih kesulitan;youtube;negative
tim asean disini akan mendunia;tiktok;neutral
wes bener eripras dolen kabeh ganti toko bangunan kono;tiktok;negative
sukrimvumssama ajabukit jalil itu rumputnya kemaren juga parahklo siaran bedalah klo pertandingan internasional sama lokal;youtube;neutral
apalagi klau lawan timnas inti bisa di bantai habisan;tiktok;negative
njir kalah sama club yg belum sempat bikin grup wa sama logo club;tiktok;negative
emyu ngalah bos soalnya pokus liga dangdut indonesia;tiktok;negative
udhh cukup makan kekalahan;tiktok;negative
cocok nya di liga tarkam;tiktok;negative
emyu tidak dihina pun sudah hina;tiktok;negative
mu kalah;tiktok;negative
tetap ggmu kankecewa tapi udah biasa di giniin;tiktok;positive
days training;tiktok;negative
sebelum ribuan;tiktok;neutral
sekelas garnacho gak bisa lewatin pemain liga sawah;tiktok;negative
jauh jauh ke malaydesh cuman mau liat kalah mu lawak;tiktok;negative
masi ada ya orang yang dukung mu;tiktok;negative
penat;tiktok;negative
bahkan mau juara aff pun susah nyaaa;tiktok;negative
dibilangin bubar aje mu;tiktok;negative
titik terendah mu dibobol orang myanmar yang timnya baru dibentuk dan latihan cuman kali wkwkwkw;youtube;negative
penat;tiktok;negative
kakang edan;youtube;neutral
lain kali undang club eropa yg kuat;youtube;negative
ampun dah mu;youtube;negative
ke empat belas;tiktok;neutral
gagal di eropa gagal juga di asean;tiktok;negative
jangan sampai saya membeli maruah garuda nantierick tohak pun tidak mampu melawan sayahati sama komentar kamu itusaya bisa bunuh garuda nanti;youtube;negative
kok ada ya team yg kalah sama asean all star;youtube;negative
padahal kalo mu menang otomatis masuk ucl;tiktok;negative
amorim terlalu meremehkan asean;tiktok;negative
lebih jago indonesia dari pada emyu;tiktok;negative
ga tau siapa;tiktok;neutral
hadeh myu myu makanya jangan dukung myu;tiktok;negative
meh makan meh;tiktok;negative
mainnya ga serius takut kena cedera parah ditekel pemain tarkam dari asean hahaha;news;negative
mu musim tropi kakang musim tropi garnacho di kantongin makkk;tiktok;negative
liat musim depan yak;tiktok;positive
btw mau tanya ni bukan di malaysia;tiktok;neutral
kalah menang itu hal yg wajar;tiktok;positive
hermanipoetkesian mu gak mahu main di indon sebabnya yg nonton monyet lembu bab lembu anji semuanya yg ada dlm zoo;youtube;negative
kakang meguair yoro evans;tiktok;neutral
ayo mu beli pemain all stars;youtube;negative
munyukk munyukkkk;tiktok;negative
mu vs team yg baru d bentuk tiga detik yg llu;youtube;negative
lawan persipura sya yakin persipura yg menang;tiktok;negative
indonesia;youtube;neutral
mereka di bayar mau menangkalah yg penting aman;youtube;positive
ibarat manusia mu lg dititik terendah mucoba intropeksi diribnyk sedekahmungkin fans anda sering berbuat tidak baik sm fans klub lain;youtube;positive
snana kahkahkah;tiktok;negative
yang bingung adalah kok garnacho fi kantongin kakang;tiktok;neutral
bg aku nitip upin ipin aja lah ga minta banyak;tiktok;negative
pertama;tiktok;neutral
klub bosok byk alasan munyuk emang tim lemah valid no debate;youtube;negative
fans mu jauh dtg cm ngeliat klubny kalah buang duit aje;youtube;negative
mu bila udah kalah tiada selera makan;tiktok;negative
kasian mu jadi tim kacang goreng;youtube;negative
mereka hebat mencari peluangsangat jelas mereka bermain tidak seriusbagi mereka pertandingan seperti itu tidaklah pentingyg penting mereka mendapatkan uang dengan mengalah seperti itu di pertandingan yg bukan levelnyamaka mereka akan sering di undang oleh negara yg sepakbolanya tidak populerdan tentu mereka akan sering mendapatkan uangdi sela sela liburan liga eropa;youtube;negative
mu lawan tarkam indo aja gak sih;tiktok;negative
kalau gatau apa apa diem deh setadium ini paling megah dan paling banyak tempat kursi nya se asean kalau ga lihat langsung diem uswatunkhasana;youtube;neutral
absen dulu sebelum ribuan;tiktok;neutral
gini bat jadi fans emyu;tiktok;positive
bewan cuy;tiktok;neutral
wkwkwk sudah tak tertolong;tiktok;negative
pertam ni;tiktok;neutral
team paling lawak sedunia bukan setan merah lagi tapi badut merah;tiktok;negative
sengaja kalah;tiktok;positive
