comment,source
wah belum ribuan,tiktok
kalah sama tim yang baru dibuat,tiktok
"​@@special0140 boneka tetap boneka ,, karena kemerdekan di atur British , bukan di atur sendiri 😂😂 ... Harga diri bangsa di jual pada British 🤣",youtube
wkwkw king assean all stars kasih telor buat mu,tiktok
"Kerennn contentnya bang ,cari situs yang benar itu 𝗪𝗘𝗧𝗢𝗡𝟴𝟴",youtube
kalah menang itu hal yang wajar tpi ini gk wajar,tiktok
ci keboy lanjut,tiktok
hhh kalah sama asean hhhh,tiktok
"Gokil sih, 100rb balik 10 juta. makin cinta ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
"MU sekarang ga ada apa apa nya,, beda jaman nya Rooney, ronaldo, van versie",youtube
"Ga ngerti lagi, 100 ribu tembus 10jt. berkat ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
lawan klub tarkam aja keknya masih menang klub tarkamnya,tiktok
kalah menang soal baisa,tiktok
dibawah easy masih ada emyu,tiktok
malam aku full gelak doh,tiktok
​@Riskiar12Ngambek kah bang,youtube
Emang aslinya bapuk 😅,youtube
udh emyu ubah jadi ormas aja,tiktok
ini smua setinggan,tiktok
mau angkat pialanya di eropa angkat piala di asean aja gk bisa,tiktok
sebelum ratusan,tiktok
main dimana aja kalah,tiktok
selanjutanya Mancester city 😂,youtube
man utd aliansi ormas dalam bidang apa,tiktok
mu cuma sekelas bontang fc,tiktok
kalah menang itu memang hal yg wajar tapi mu memang takkan menang,tiktok
tim yg latihan bertahun kalah dengan tim yg baru latihan hari,tiktok
kakang penerus asnawi,tiktok
kalah menang itu hal yg wajar,tiktok
sumpah bingung gua mau alesan apa lagi,tiktok
bot banget emyu dari di tinggal nya para legend nya,tiktok
Mana Golnya kgak Jelas,youtube
kalah sama tim yang baru di buat jir,tiktok
degradasi aj bg,tiktok
cocok nya suruh lawan liga takram,tiktok
"Bermain di 𝗗 𝗢 𝗥 𝗔 𝟳 𝟳👐 membuka jalan, dari buruh tani ke pengusaha sukses. 🗺",youtube
rendah banget mu kalah sama tim asia tenggara dan yg cetak gol pemain myanmar lgi,tiktok
lawan Indo U23 squad kualifikasi Olimpiade Emyu pasti kalah 😂😂😂😂,youtube
bang ngomong ribu kali bang lu udah janji,tiktok
santai aja ada leg mu awto comeback,tiktok
kayak nya stiap orang ini dukung klup bola pasti kalah,tiktok
kalah menang itu hal yang wajar tapi kalah dari asia tenggara itu ga wajar,tiktok
tapi kalahnya sma tim mng d bntuk,tiktok
padahal itu belum all star sebenarnya,tiktok
"Keren banget bang 😂 , Salam JePE ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",youtube
yg sabar lah ya bang puasa tropi musim ini kita bang,tiktok
kira mu vs persib siapa yg menang,tiktok
terakhir,tiktok
nasib gak ada pemain indoklu ada gak akan menang cokindo beban asean,tiktok
garagara mu kalah aku jadi sakit radang,tiktok
hahahah puas bgt gua,tiktok
Bubar-bubar!😂,youtube
Hasil di 𝗗𝗢-𝗥-𝗔-𝟳-𝟳🤩 membuat saya bisa melunasi hutang tanpa beban berat. 🤏,youtube
yang sabar ya bang manchester united itu emang lagi bot,tiktok
sumpah bg capek gw jadi fans mu tapi gw gak bisa lepas dari mu,tiktok
mu cocok nya lawan psms medan,tiktok
mu kalah dengan asean,tiktok
casemiro tidak pernah serendah ini wkwkwk,tiktok
puncak komedi,tiktok
"Berkat 🤕DEWADORA🤕 saya melesat, dari tukang sayur ke pengusaha supermarket. 🍷",youtube
pindah liga aja,tiktok
kalah sma tim yng sistem borongan,tiktok
menang kalah tetap glory glory man united kan bg,tiktok
"@@antikebodohan-x7h fans mu marah""",youtube
apakah masih yakin bakal treble domestik bang,tiktok
kakang rudianto kali juara,tiktok
untung besok tgl merah fansnya bisa napas dulu nyiapin alesan wkw,tiktok
kalah sama tim di betuk harii,tiktok
"Wah! JP super besar di 𝗗𝗢𝗥𝗔𝟳 𝟳🖖,pecah rekor lagi! 🐷",youtube
alhamdulillah kasi suap maguire sekali,tiktok
manutd beli pemain asean aja,tiktok
mending emyu daftar liga kita aja saingan ama persib persija dll,tiktok
terimalah yg man utd itu bukanlah yg dulu,tiktok
Mu di bayar untuk kalah😂,youtube
udah bangg pindah aja ke madrid kalo gak ke liverpool atau arsenal biar lebih jelas masa depan nya asal jgn barca yaa,tiktok
indo kan asean juga,tiktok
"Aku baru aja coba, dan langsung dapet jakpot gede di 👩‍🦱𝘿𝙀𝑊ADORA👩‍🦱. Rasanya gak percaya, tapi itu nyata! 🥤",youtube
tragedi mei terulang wkwkwk,tiktok
nonton di tv one makanya mu menang,tiktok
day one komen pakai foto,tiktok
Koq MU jadi kaya gini sih maennya . .kaya nonton liga 2 Indonesia,youtube
kalah menang itu adat permainan mu kalah tu tabiat,tiktok
mu main di liga aj,tiktok
srh lawan liga pasti juara munyuk itu,tiktok
dan Nani,youtube
liat vt baru gw,tiktok
bang mending pindah ke liverpool bang udah ga ketolong ini,tiktok
sblm ribuan,tiktok
dulu meratakan eropa,tiktok
astagfirullah mu,tiktok
lawan persib juga yang menang persib gue emosi banget semalem nontonnya,tiktok
astaghfirullah united,tiktok
MU BAPUK..👎😆,youtube
masuk gua sana,tiktok
makan dulu bang biar ga telor,tiktok
gpp bang dahulu indonesia menang melawan asean all star nanti juga manchester united akan tsunami trophy,tiktok
itu asean all star bayar ke emyu buat tim asean all star menang biar suporter malaysia seneng,tiktok
padahal baru lepas nangis,tiktok
indonesia menang lawan asean all stars,tiktok
"TIM BRITISS ,, maen di negara boneka BRITISS 😂😂",youtube
"JP datang berbondong-bondong di D O R A 77🖖, lagi gacor parah nih! 🔶",youtube
mu main di liga mungkin masih kalah dari psm,tiktok
sejak dulu kapan coba anda jelaskan,news
"Seriusan?, 100rb cair 10jt. makin cinta ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
fun match emang iya fun match tapi laga serius juga keok mulu minimal kalo fun bisa nge bobol lah bukan keok,tiktok
lawan asean pemain bintang di turunin tapi hasil nya wkwk garnaco di kantongin kakang,tiktok
ikut laga tarkam ajahbiar bisa menang,tiktok
MU sudah tidak ada identitas. Nama besar tinggal kenangan.,youtube
kenapa setiap klub yang didukung kyle kusumo selalu kalahh,tiktok
tukeran aja bang asean all star yg main di epl aja mu main di aff,tiktok
"Bener-bener gacir banget main di 👍𝘿𝘌𝙒𝘼DORA👍.Modal kecil, hasilnya luar biasa! ⚾",youtube
"Mu pantas main di Malaysia, lapangnya ok banget",youtube
sebelum ribuan,tiktok
Akhirnyaa🎉🎉🎉 Salam ⭐𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓 ! gampang Jepe,youtube
dappaaa,tiktok
baru menit dah ribu ribuan lah aku menit baru,tiktok
bek asean Kakang Rudianto 16😍🏆💙,youtube
ah diayammin,tiktok
waktu itu sama ayam sayur sekarang sama asean all star,tiktok
masih ada fans mu,tiktok
team aja kuat tapi kalah sama asian all stars hahahhahahahahhaha,tiktok
sekou kone pemain mali bang,tiktok
mu gua kenapa cokk,tiktok
aku nk pesan jaa,tiktok
cek vt yang gw sematkan,tiktok
titik terendah tim mu di kalahkan skuad aff,tiktok
Nah lawakan amorim😂.. yang dikirim Asean all star kan juga lain team inti di timnas terbaik😂😮,youtube
"Gokil sih, 100rb cair 10jt. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. emang beda",youtube
"Asli ngakak, cuma 100rb bisa 10 juta. berkat ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
gak usah hina pun sudah hina ini klub,tiktok
lama di tolak piala seluruh dunia,tiktok
cocok dahh maen di liga,tiktok
lbih tepatnya asean bkan lbih jago dripda eropa,tiktok
md bhismaputran,tiktok
padahal belum lawan king indo,tiktok
Bener2 badut kalah sama tim yg baru d bentuk smggu,youtube
makan dulu nak,tiktok
padahal dulu menang lawan eropa,tiktok
mending jadi club malam aja ni emyu kalo gak masuk liga san marino aja,tiktok
padahal asean bukan pemain inti,tiktok
bukan masalah pertandingan biasa harga diri nya itu lohh jatuh,tiktok
Mantap yg bkin gak terjadi goal dari bek Indonesia 🔥🔥🔥 smpe keteter trs lawan bek Indonesia 🔥👍MU sekarang kok gitu ya hadeuhh 🤦🏻‍♂️,youtube
kalah sama team minggu lahir kocaakk kata embah gua di kuburan,tiktok
ahahahhaha padan muke,tiktok
memang klub pan lanjutkan,tiktok
kalah sudah,tiktok
soal nya siralex feguson udah gak ada kalo ada pati menang,tiktok
MU sudah tim biasa saja..,youtube
bang kalah gapapa tp bang ini asean all star baru di bentuk berapa minggu bangg benerann kalah ini,tiktok
Mau tanyaa allstas tim dari negara mana,youtube
emng emyu sengaja kalah biar asia seneng,tiktok
"Melalui 𝘿𝙊𝙍𝘼 𝟳 𝟳🙅 saya bertransformasi, dari tukang bakso menjadi pemilik restoran. 🍅",youtube
di bawa santay aja kawan,tiktok
besok mau fokus apa lagi yaa,tiktok
Lapangan first class..jauh beda dgn konoha,youtube
"Gokil sih, 100rb cair 10jt. makin cinta ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
"Main bareng bestie di 𝓓𝓞ℛ𝓐77 makin seru dan asyik, makin banyak pula rezeki yang diraih! 🔹",youtube
Ga usah ngoyo2 menang. Toh ini pertandingan sangat tdk berguna. Anggap aza ajang cari keringet,youtube
gk usah dihina pun harusnya sadar diri sih,tiktok
aib inggris,tiktok
kalo soal kalah emang emyu pemenangnya,tiktok
takut mu dibully pas balik ke inggris ama tim piala chiki aja kalah gimana mau ngejar piala liga,tiktok
mu kapan menangnya sih,tiktok
"Speechless, 100rb balik 10 juta. makin cinta ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
gor mahia can beat man u,tiktok
pdhal cuma asean coba kek zaman dulu vs eropa xi,tiktok
masih ada lag,tiktok
soal menang emyu kalah tapi soal kalah emyu menang,tiktok
ndak dihina pun dah hina,tiktok
"MU mainya tidak bergairah, layak kalah lawan Tottenham hotspur dan kalah lawan ASEAN ya, bravo💪",youtube
beda zaman bg,tiktok
kalah menang aku masih fans king mu,tiktok
mu main pau ajah,tiktok
muhamad rizki ardi,tiktok
masak sepak bola tarkam dih samain sama sepak bola eropa,tiktok
"Begitu mantap! Bermain di 🧍𝐷𝘌𝑊𝐀DORA🧍 lancar, rezeki pun mengalir dengan deras! 🅿",youtube
makan sikit bang nanti jatuh sakit,tiktok
kalah menang itu adat tapi mu kalah itu tabiat,tiktok
suruh lawan liga aja belum tentu menang,tiktok
"asean loh ya. belum perkumpulan pemain asia😂😂. belum lagi nnti yang diisi nama nama kaya son, kubo, minamino, taremi, khusanov, jay😂😂😂😂
ngakak sehina ini tim badut ini😂😂😂",youtube
"Awalnya hanya iseng-iseng mencoba bermain 𝓓𝓞ℛ𝓐77,eh ternyata malah menjadi seorang ahli, rezeki pun datang terus menerus tanpa henti! 🐎",youtube
Bisa ae... MU... Biar seruuuu,youtube
lawan asean all star aja kalah wkwkw btw kakang rudianto mainnya bagus,tiktok
piala apa lagi yang mau di angkat,tiktok
emang paling bener emyu main di kutub utara aja lawan beruang kutub,tiktok
apalagi vs king indo udah diobokobok,tiktok
"Parah banget, 100 ribu tembus 10jt. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. no debat",youtube
"Sikat habis semua bonus dan promo di 𝗗𝗢𝗥 𝗔 𝟳 𝟳💪,auto jadi jutawan! 🦀",youtube
sama asia aja kalah apalagi sama europa,tiktok
"Auto tajir, modal receh jadi sultan. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. top banget",youtube
dulu menang lawan eropa xxi sekarang kalah lawan asean al star,tiktok
kakang menyala,tiktok
HAHAHAHA disana kalah disini kalah😂😂😂 mending dagang rujak di inggris,youtube
bg sakit gk bang ditampar oleh dodi,tiktok
ga di ligalawan asean tetep aja kalah,tiktok
woi mu ngapa jadi gini ya tau sii kalau dia kalah mulu tapi ga espek bgtt dikalahin aas ini manggilnya masih setan merah ga,tiktok
jauh ke malaysia cuma buat liat kakang angkat piala,tiktok
masuk liga super pun tak lepas ni,tiktok
serasa org dewasa dipukul bayi,tiktok
yang menang merayakanyang kalahh menjelaskann,tiktok
Keuntungan dari D ORA77🤚 mendukung saya dalam membeli rumah impian. 🤲,youtube
fiks musim depan mu degradasi,tiktok
barangkali ikut turnamen rt rw bisa juara itu club,tiktok
"kocak, gada sejarahnya tim eropa lawan tim asean tenggara kalah, cuma emyu doang njirr, klo niatnya mreka pntingin duit, ya sharusnya menangin laga jauh lebih bagus, klo udh kalah gtu ngapain lg buat d panggil kocak, intinya klo badut ya badut aja 😂😂😂",youtube
manusia ditzzstrongboys,tiktok
ada kakang rudianto,tiktok
bro didesa gue ada liga tarkam siapa tau mu mau ikut biar biasa juara,tiktok
sruh mu main ngan budak ja,tiktok
yah di eropa ga angkat piala eh di asean juga sama,tiktok
hanya ank mudah lawan nya tapi tetap kala,tiktok
sebelum mnt,tiktok
dulu lawannya europa allstar,tiktok
Akhirnya bisa dapet menang besar di 𝓓𝓞ℛ𝓐77-setelah lama penasaran! 🏣,youtube
Gak nyangka bisa dapet segini main di 𝐃 𝐎 𝐑𝐀𝟕𝟕🖕! Auto traktir temen-temen! 😒,youtube
apaan piala ciki udah tau emyu fokus utbk,tiktok
Kirain gk jadi mainnya saking gk menariknya coba klo main di Indonesia euforia nya bkln beda bgt😂,youtube
Wkwk ngakakak gua liat tim kayak gini kalah sama tim yang baru gabung sehari hhahaha,youtube
"Seriusan?, modal 100rb tembus 10jt. berkat ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
mending jualan ayam sayur,tiktok
"Speechless, 100 ribu tembus 10jt. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. parah sih",youtube
awokawokawok club badut sebenarnya,tiktok
sedihhhhh banget,tiktok
bang mending mu ikutan eksibisi bang kalo nggak liga indonesia kayaknya lawannya sepadan,tiktok
pemain mu minta baju malik,tiktok
gpp yg penting bisa juara dpt medali perak drpd arsenal ga dpt apa,tiktok
mu suruh jualan ketoprak aja percuma kalah mulu,tiktok
sudah tidak wajar kalo emyu,tiktok
menang kalah itu adat mu kalah itu tabiat,tiktok
kalah menang hal yg wajar,tiktok
"Ga ngerti lagi, 100 ribu tembus 10jt. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. parah sih",youtube
"Parah banget, modal 100rb tembus 10jt. ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,. top banget",youtube
"Gak nyangka, 100 ribu tembus 10jt. cuma di ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
itu mental nya fans mu aman kan,tiktok
dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat,tiktok
"Dan ternyata penontonya banyak juga, ternyata main juga katanya batal.  Ternyata iri indonesia = dengan iri malasya. Banyak spekulasi",youtube
faktanya di asean all stars kemarin diisi materi pemain kelas b asean,tiktok
baru asean all star loh gimana tu kalo asia all star,tiktok
penat,tiktok
gimana bisa menang aff kalo baru tanding sama tim kelas aja tetep kalah,tiktok
Mu masuk liga BRI Aja lah,youtube
bahkan lawan yg pemainnya dadakan latihanya beberapa minggu aja king masih aja kalah,tiktok
club apa ini masih ada kah urat malu nya,tiktok
seasky makan dlu hm,tiktok
udahlah ini cuma laga uji coba gak usah di pikirin mending pikirin indo vs china,tiktok
itu kone pemain mali bgdia main pas word cup u,tiktok
yaelah faktor cuaca makanya mu kalah pemain eropa ga terbiasa sama cuaca di asean bisa disimpulkan kalo asean all star menang hoki,tiktok
bang dukung manchester city aja,tiktok
yah mu gagal masuk aclasean champion league,tiktok
MU lawan anak SD juga kalah tuh MU,youtube
Indonesia ❤kakang club in persib bandung goodjob,youtube
kalah menang itu adat permainan tapi kalau mu kalah itu tabiat,tiktok
anjayyy,tiktok
dah lah pasti gua besok kalok main di buli ama temen gue,tiktok
MU lagi jelek performa nya.,youtube
niat nyari pengalaman malah ngasih pengalaman buat mu,tiktok
"Seriusan?, modal receh jadi sultan. percaya ..,,𝑩𝑶𝑺𝑺𝑾𝑫.,.,.",youtube
Asean luar biasa dan mu tim lemah,youtube
madura cabang inggris kalah lagi,tiktok
Bermain di 𝐃-𝐎-𝐑-𝐀𝟕𝟕😄 memberikan solusi untuk menutup hutang dengan hasil yang konsisten. 🍈,youtube
besok mu suruh ikut piala presiden,tiktok
emng bener kemarin udah coba di probet hari ini mau gas lagi ahh 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 kawan berbuah manis,youtube
tapi kualitas rumput dan siaran bagaikan bumi dan langit😄,youtube
Sukses selalu ⚡ 𝐏𝐑0𝐁𝐄𐊗𝟖𝟓𝟓  ⚡ bang😊❤,youtube
"Yang dulu di takuti di Eropa,, sekarang lawan Asean pun serasa imbang bahkan bisa jadi Asean sekarang atawkah MU yg menurun drastis julukan the red devil rasa seolah tak pantas melihat permainan seperti permainan tarkam",youtube
kalah ama asean all star itu udh gk wajar bu,tiktok
kalah di europa legue kalah lagi di pertandingan persahabatan,tiktok
sebelum ribuan,tiktok
​@@HermanIpoetmau SERIUS MAU KAGAK HARUSNYA SI MU TETAP BISA MENANG LAWAN TIM KARBITAN YG BARU DI BENTUK 2 HARI..,youtube
dan mereka kata kepada ronaldo asia ez,tiktok
Ga balik modal tuh pasti emyu😂 udah tau negara ga gila bola malah di boking,youtube
kemarin yapping wkwk,tiktok
pindah ke liga aja mu biar dapat trophy,tiktok
saran aja bg mending jdi malud united mania aja,tiktok
"Satu satunya tim dari eropa yang mendadak berubah menjadi Cambodia hanya milik mu..
Sekarang HT 0-1 lawan Hongkong.m G.nevil Scholes dkk pasti mangis guling guling melihat mantan tim nya di buat pecundang dari asen 😂😂😂😂",youtube
ih takutnya,tiktok
mending ganti aja tu emyu jadi club malam,tiktok
opo gunane kalah emyu,tiktok
alah cuaca nya beda aja piala mu udah banyak apalagi jaman ronaldo duluu,tiktok
parah cok sudah tak tertolong,tiktok
mu mau nge golin nya jga susah belakang nya jga banyakgarnacho di kantongin pemain persib kakang jadi bagus main nya,tiktok
mu nu kuring keleh njirr,tiktok
mau fokus apalagi,tiktok
kakang rudianto udah trofi emyu masih aja,tiktok
ngga perlu dihina sudah hina wkwkw,tiktok
kep sterong mu pasti kamu bisa bangkit mejadi mu yang seperti dulu,tiktok
dulu sekelas eropa al star aja bisa di kalah kan sekarang sama sekelas asean aja kalah,tiktok
haduh sabar bang mungkin bukan rezekinya,tiktok
udah di kasih lawan asean tetep ga bisa dapet tropy,tiktok
yaah kalah ama asean all star,tiktok
Permainan itu terlihat seperti Bukan Manchester united...,youtube
fans sepakbola paling tabah adalah fans mu,tiktok
respect buat emyu yg semangat ya,tiktok
mu kalah sama asia wkwk,tiktok
hahahaha setan merah kalah,tiktok
kayak shidou aja masuk tim lawan,tiktok
olds nya besar njir megang asean all stars,tiktok
pramusim ngapain diseriusin pemainya pada cape habis menang lawan villa di rpl,tiktok
mu sengaja ngalah bukan kalah,tiktok
kasihan,tiktok
yanaitud,tiktok
besok jamaah jumat yg berbahagia,tiktok
0:02 Wah keren Weton88 terbaik menang mudah,youtube
mereka kan raja rja peringkat bawah,tiktok
jangan kecam team emyu,tiktok
